longitude,latitude,scrape_time
-5.53228,50.11714,2020-11-16T17:20:03Z
-5.53229,50.11715,2020-11-16T16:20:04Z
-5.53226,50.11719,2020-11-16T15:20:03Z
-5.53227,50.11719,2020-11-16T14:20:03Z
-5.53225,50.11715,2020-11-16T13:20:03Z
-5.53228,50.11717,2020-11-16T12:20:03Z
-5.53226,50.11715,2020-11-16T11:20:03Z
-5.53225,50.11715,2020-11-16T10:20:04Z
-5.53226,50.11717,2020-11-16T09:20:03Z
-5.53226,50.11716,2020-11-16T08:20:04Z
-5.53217,50.11716,2020-11-16T07:20:04Z
-5.53217,50.11716,2020-11-16T06:20:09Z
-5.53217,50.117,2020-11-16T05:20:03Z
-5.53217,50.11716,2020-11-16T04:20:03Z
-5.53217,50.11716,2020-11-16T03:20:04Z
-5.53217,50.11716,2020-11-16T02:20:04Z
-5.53217,50.1172,2020-11-16T01:20:04Z
-5.53217,50.117,2020-11-16T00:20:03Z
-5.53217,50.117,2020-11-15T23:20:04Z
-5.53217,50.11716,2020-11-15T22:20:04Z
-5.53217,50.11716,2020-11-15T21:20:03Z
-5.53217,50.11716,2020-11-15T20:20:03Z
-5.53217,50.11716,2020-11-15T19:20:03Z
-5.53217,50.11716,2020-11-15T18:20:03Z
-5.53217,50.11716,2020-11-15T17:20:04Z
-5.53217,50.1172,2020-11-15T16:20:03Z
-5.53217,50.1172,2020-11-15T15:20:04Z
-5.53217,50.11716,2020-11-15T14:20:03Z
-5.53217,50.117,2020-11-15T13:20:04Z
-5.53217,50.11716,2020-11-15T12:20:03Z
-5.53217,50.117,2020-11-15T11:20:04Z
-5.53217,50.117,2020-11-15T10:20:03Z
-5.53217,50.117,2020-11-15T09:20:03Z
-5.53217,50.11716,2020-11-15T08:20:03Z
-5.53217,50.117,2020-11-15T07:20:04Z
-5.53217,50.117,2020-11-15T06:20:03Z
-5.53217,50.117,2020-11-15T05:20:04Z
-5.53217,50.117,2020-11-15T04:20:10Z
-5.53217,50.117,2020-11-15T02:20:03Z
-5.53217,50.11716,2020-11-15T01:20:03Z
-5.53217,50.11716,2020-11-15T00:20:03Z
-5.53217,50.11716,2020-11-14T23:20:04Z
-5.53217,50.117,2020-11-14T22:20:04Z
-5.53217,50.11716,2020-11-14T21:20:03Z
-5.53217,50.11716,2020-11-14T20:20:03Z
-5.53217,50.11716,2020-11-14T19:20:04Z
-5.53217,50.11716,2020-11-14T18:20:04Z
-5.53217,50.11716,2020-11-14T17:20:04Z
-5.53217,50.117,2020-11-14T16:20:03Z
-5.53217,50.117,2020-11-14T15:20:03Z
-5.53217,50.11716,2020-11-14T14:20:04Z
-5.53217,50.117,2020-11-14T13:20:03Z
-5.53217,50.117,2020-11-14T12:20:04Z
-5.53217,50.117,2020-11-14T11:20:04Z
-5.53217,50.117,2020-11-14T10:20:04Z
-5.53217,50.117,2020-11-14T09:20:04Z
-5.53217,50.117,2020-11-14T08:20:04Z
-5.53217,50.117,2020-11-14T07:20:05Z
-5.53217,50.117,2020-11-14T06:20:05Z
-5.53217,50.11716,2020-11-14T04:20:05Z
-5.53217,50.11716,2020-11-14T03:20:04Z
-5.53217,50.11716,2020-11-14T02:20:03Z
-5.53217,50.117,2020-11-14T01:20:03Z
-5.53217,50.117,2020-11-14T00:20:03Z
-5.53217,50.117,2020-11-13T23:20:04Z
-5.53217,50.117,2020-11-13T22:20:04Z
-5.53217,50.11716,2020-11-13T21:20:04Z
-5.53217,50.11716,2020-11-13T20:20:03Z
-5.53217,50.117,2020-11-13T19:20:04Z
-5.53217,50.117,2020-11-13T18:20:04Z
-5.53217,50.117,2020-11-13T17:20:04Z
-5.53233,50.117,2020-11-13T16:20:03Z
-5.53233,50.11716,2020-11-13T15:20:03Z
-5.53283,50.1175,2020-11-13T14:20:03Z
-5.51983,50.08117,2020-11-13T13:20:03Z
-5.53033,50.11934,2020-11-13T12:20:04Z
